n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
4.0,30.0,27.613253635067725,0.0,0.25,2829,-3.9935673300483985,0.006432669951601522,5.792610723190491,5.78940295644137
4.0,30.0,27.613253635067725,0.0,0.5,2832,-3.993599283972542,0.006400716027457953,5.769948490631974,5.760644424712158
4.0,30.0,27.613253635067725,0.0,0.75,2829,-3.993567330048399,0.006432669951601078,5.792610723190091,5.789402956440969
4.0,30.0,27.613253635067725,0.25,0.0,2829,-3.9935673300483985,0.006432669951601522,5.792610723190491,5.78940295644137
4.0,30.0,27.613253635067725,0.25,0.25,2820,-3.993552890645603,0.006447109354397185,5.787143778371589,5.802398418957466
4.0,30.0,27.613253635067725,0.25,0.5,2832,-3.993598303033174,0.006401696966825909,5.770832761954316,5.7615272701433184
4.0,30.0,27.613253635067725,0.25,0.75,2820,-3.993552890645603,0.006447109354397185,5.787143778371589,5.802398418957466
4.0,30.0,27.613253635067725,0.5,0.0,2832,-3.9935992839725425,0.006400716027457509,5.769948490631573,5.760644424711758
4.0,30.0,27.613253635067725,0.5,0.25,2832,-3.993598303033174,0.006401696966825909,5.770832761954316,5.7615272701433184
4.0,30.0,27.613253635067725,0.5,0.5,2852,-3.993652231055245,0.006347768944754861,5.762630304649527,5.712992050279374
4.0,30.0,27.613253635067725,0.5,0.75,2832,-3.993598303033174,0.006401696966825909,5.770832761954316,5.7615272701433184
4.0,30.0,27.613253635067725,0.75,0.0,2829,-3.993567330048399,0.006432669951601078,5.792610723190091,5.789402956440969
4.0,30.0,27.613253635067725,0.75,0.25,2820,-3.9935528906456033,0.006447109354396741,5.787143778371191,5.802398418957067
4.0,30.0,27.613253635067725,0.75,0.5,2832,-3.993598303033174,0.006401696966825909,5.770832761954316,5.7615272701433184
4.0,30.0,27.613253635067725,0.75,0.75,2820,-3.993552890645603,0.006447109354397185,5.787143778371589,5.802398418957466
4.0,36.0,33.13590436208127,0.0,0.0,4097,-3.9955542273427707,0.004445772657229341,5.797801492773323,5.761721363769226
